invoice_number,customer_code,customer_name,tax_id,issue_date,due_date,amount,currency,outstanding_amount,account_owner,status,gold_blocker,has_invoice,has_acceptance,document_data_matches,customer_disputed,promise_due,promise_paid
INV-2026-0060,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000060,2026-07-05,2026-08-04,150000000,VND,150000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0061,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000061,2026-07-06,2026-08-05,80000000,VND,80000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0062,CUS-002,Công ty An Bình (synthetic),SYN-0000000062,2026-07-07,2026-08-06,69000000,VND,69000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0063,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000063,2026-07-08,2026-08-07,99000000,VND,99000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0064,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000064,2026-07-09,2026-08-08,92000000,VND,92000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0065,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000065,2026-07-10,2026-08-09,165000000,VND,165000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0066,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000066,2026-07-11,2026-08-10,106000000,VND,106000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0067,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000067,2026-07-12,2026-08-11,219000000,VND,219000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0068,CUS-002,Công ty An Bình (synthetic),SYN-0000000068,2026-07-13,2026-08-12,116000000,VND,116000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0069,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000069,2026-07-14,2026-08-13,218000000,VND,218000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0070,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000070,2026-07-15,2026-08-14,142000000,VND,142000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0071,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000071,2026-07-16,2026-08-15,193000000,VND,193000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0072,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000072,2026-07-17,2026-08-16,191000000,VND,191000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0073,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000073,2026-07-18,2026-08-17,142000000,VND,142000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0074,CUS-002,Công ty An Bình (synthetic),SYN-0000000074,2026-07-19,2026-08-18,237000000,VND,237000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0075,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000075,2026-07-20,2026-08-19,16000000,VND,16000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0076,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000076,2026-07-21,2026-08-20,149000000,VND,149000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0077,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000077,2026-07-22,2026-08-21,178000000,VND,178000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0078,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000078,2026-07-23,2026-08-22,209000000,VND,209000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0079,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000079,2026-07-24,2026-08-23,99000000,VND,99000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0080,CUS-002,Công ty An Bình (synthetic),SYN-0000000080,2026-07-25,2026-08-24,170000000,VND,170000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0081,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000081,2026-07-26,2026-08-25,12000000,VND,12000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0082,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000082,2026-07-27,2026-08-26,226000000,VND,226000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0083,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000083,2026-07-28,2026-08-27,240000000,VND,240000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0084,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000084,2026-07-01,2026-07-31,129000000,VND,129000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0085,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000085,2026-07-02,2026-08-01,190000000,VND,190000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0086,CUS-002,Công ty An Bình (synthetic),SYN-0000000086,2026-07-03,2026-08-02,102000000,VND,102000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0087,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000087,2026-07-04,2026-08-03,106000000,VND,106000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0088,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000088,2026-07-05,2026-08-04,113000000,VND,113000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0089,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000089,2026-07-06,2026-08-05,184000000,VND,184000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0090,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000090,2026-07-07,2026-08-06,134000000,VND,134000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0091,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000091,2026-07-08,2026-08-07,130000000,VND,130000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0092,CUS-002,Công ty An Bình (synthetic),SYN-0000000092,2026-07-09,2026-08-08,219000000,VND,219000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0093,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000093,2026-07-10,2026-08-09,47000000,VND,47000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0094,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000094,2026-07-11,2026-08-10,113000000,VND,113000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0095,CUS-005,Công ty Đông Dương (synthetic),SYN-0000000095,2026-07-12,2026-08-11,93000000,VND,93000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
INV-2026-0096,CUS-006,Công ty Thiên Lam (synthetic),SYN-0000000096,2026-07-13,2026-08-12,46000000,VND,46000000,demo-owner@example.com,OPEN,MISSING_PAYMENT_DOCUMENT,False,True,True,False,False,False
INV-2026-0097,CUS-001,Công ty Sao Mai (synthetic),SYN-0000000097,2026-07-14,2026-08-13,73000000,VND,73000000,demo-owner@example.com,OPEN,INCORRECT_DOCUMENT_DATA,True,True,False,False,False,False
INV-2026-0098,CUS-002,Công ty An Bình (synthetic),SYN-0000000098,2026-07-15,2026-08-14,11000000,VND,11000000,demo-owner@example.com,OPEN,MISSING_ACCEPTANCE_OR_DELIVERY_CONFIRMATION,True,False,True,False,False,False
INV-2026-0099,CUS-003,Công ty Minh Hà (synthetic),SYN-0000000099,2026-07-16,2026-08-15,24000000,VND,24000000,demo-owner@example.com,OPEN,CUSTOMER_DISPUTE,True,True,True,True,False,False
INV-2026-0100,CUS-004,Công ty Việt Phúc (synthetic),SYN-0000000100,2026-07-17,2026-08-16,176000000,VND,176000000,demo-owner@example.com,OPEN,BROKEN_PROMISE_TO_PAY,True,True,True,False,True,False
